avg_arousal,avg_dominance,avg_valence,avg_wpm,dominant_speech_emotion,dominant_text_emotion,f0_mean_hz,f0_std_hz,interruptions_made,interruptions_received,loudness_dr_db,loudness_rms_med,overlap_ratio,pause_count,pause_ratio,pause_total_sec,speaker_id,speaker_name,text_emotions_full_json,text_emotions_top5_json,total_duration,voice_quality_hint,vq_cpps_db_med,vq_hnr_db_med,vq_jitter_pct_med,vq_shimmer_db_med,word_count
0.004,-0.001,0.017,148.9,sad,fear,182.27,31.44,0,0,63.57,-27.48,,3,0.025,0.67,Speaker_38,Speaker_38,"{""admiration"": 0.0013814292143964325, ""amusement"": 0.0009755025785286771, ""anger"": 0.002100083846000967, ""annoyance"": 0.010139471220831545, ""approval"": 0.007735080025110119, ""caring"": 0.0035372605156891233, ""confusion"": 0.014911818045924142, ""curiosity"": 0.00669330333009619, ""desire"": 0.16978268161824694, ""disappointment"": 0.05868093577393966, ""disapproval"": 0.01678597628887132, ""disgust"": 0.009048152882053755, ""embarrassment"": 0.0015691445160589375, ""excitement"": 0.0017514303904404029, ""fear"": 0.36045507329294674, ""gratitude"": 0.00044782117270266916, ""grief"": 0.0011634963788590285, ""joy"": 0.0012453925528477566, ""love"": 0.0011995978221781803, ""nervousness"": 0.03282578554732277, ""optimism"": 0.016206676074605315, ""pride"": 0.0002573624641337421, ""realization"": 0.010876157422646646, ""relief"": 0.0007581122470791475, ""remorse"": 0.0016876572718086107, ""sadness"": 0.021839156431222848, ""surprise"": 0.0012737983188458287, ""neutral"": 0.2446716427566124}","[{""label"": ""fear"", ""score"": 0.36045507329294674}, {""label"": ""neutral"", ""score"": 0.2446716427566124}, {""label"": ""desire"", ""score"": 0.16978268161824694}, {""label"": ""disappointment"", ""score"": 0.05868093577393966}, {""label"": ""nervousness"", ""score"": 0.03282578554732277}]",27.0,,5.483,7.483,2.635,0.806,67
0.008,-0.011,-0.01,160.0,sad,neutral,nan,nan,0,0,0.0,-28.084,,0,0.0,0.0,Speaker_8,Speaker_8,"{""admiration"": 0.0001781743148906587, ""amusement"": 7.950268424426628e-05, ""anger"": 0.00012818198265275558, ""annoyance"": 0.00027254391929228936, ""approval"": 0.0005936578812163258, ""caring"": 8.828868660119762e-05, ""confusion"": 8.305543239306857e-05, ""curiosity"": 6.693872102825657e-05, ""desire"": 6.868209863572068e-05, ""disappointment"": 0.0002634642229137674, ""disapproval"": 0.00012373747860963417, ""disgust"": 0.00010975388878788702, ""embarrassment"": 4.6844582069449864e-05, ""excitement"": 0.00011528135361058409, ""fear"": 9.279855056989684e-05, ""gratitude"": 7.640814679046442e-05, ""grief"": 5.406607895633277e-05, ""joy"": 0.00016505781546754896, ""love"": 0.00014517733863660104, ""nervousness"": 2.937204151262052e-05, ""optimism"": 5.760674537782548e-05, ""pride"": 2.4409612991885184e-05, ""realization"": 0.0003384977667230603, ""relief"": 3.31306828857376e-05, ""remorse"": 3.9308108985498744e-05, ""sadness"": 0.00036572978362800593, ""surprise"": 5.906216969410983e-05, ""neutral"": 0.9963012679108345}","[{""label"": ""neutral"", ""score"": 0.9963012679108345}, {""label"": ""approval"", ""score"": 0.0005936578812163258}, {""label"": ""sadness"", ""score"": 0.00036572978362800593}, {""label"": ""realization"", ""score"": 0.0003384977667230603}, {""label"": ""annoyance"", ""score"": 0.00027254391929228936}]",0.75,,1.396,3.396,2.032,1.385,2
0.024,-0.017,-0.007,120.0,happy,neutral,239.34,119.96,0,0,0.0,-36.65,,0,0.0,0.0,Speaker_36,Speaker_36,"{""admiration"": 8.858551262394758e-05, ""amusement"": 9.258386966021323e-05, ""anger"": 7.672068843398344e-05, ""annoyance"": 0.00022473723493023258, ""approval"": 0.0008173677005388903, ""caring"": 8.545297272640868e-05, ""confusion"": 8.236629319026874e-05, ""curiosity"": 7.830889175724714e-05, ""desire"": 9.82030917938692e-05, ""disappointment"": 8.124940457910116e-05, ""disapproval"": 7.662314694502347e-05, ""disgust"": 4.774534376097344e-05, ""embarrassment"": 2.0491879944116688e-05, ""excitement"": 0.00022335630181404055, ""fear"": 7.083536997523092e-05, ""gratitude"": 3.815578794214308e-05, ""grief"": 1.451910265479046e-05, ""joy"": 0.00011961400159337, ""love"": 3.395154313076923e-05, ""nervousness"": 2.1084290239245266e-05, ""optimism"": 0.00032126735121764603, ""pride"": 1.9730598308691476e-05, ""realization"": 0.0002497427079413823, ""relief"": 2.180781329217325e-05, ""remorse"": 1.4410689975528203e-05, ""sadness"": 5.8314447213378625e-05, ""surprise"": 5.2780572063573215e-05, ""neutral"": 0.9968699933917538}","[{""label"": ""neutral"", ""score"": 0.9968699933917538}, {""label"": ""approval"", ""score"": 0.0008173677005388903}, {""label"": ""optimism"", ""score"": 0.00032126735121764603}, {""label"": ""realization"", ""score"": 0.0002497427079413823}, {""label"": ""annoyance"", ""score"": 0.00022473723493023258}]",1.5,,7.498,9.498,2.251,0.618,3
